,ParentLocationCode,ParentLocation,SpatialDimValueCode,Location,Year,Gender,Value,arg,cpi,edu,employ,exchange,gdp,green,income,pop,tax,LifeLadder,LogGDPPerCapita,SocialSupport,Expectancy,Freedom,Generosity,Corruption,PositiveAffect,NegativeAffect,Africa,Americas,Eastern Mediterranean,Europe,South-East Asia,Western Pacific,YearInd,cbrt_cpi,cbrt_exchange,cbrt_gdp,cbrt_green,cbrt_income,cbrt_pop
13,AFR,Africa,RWA,Rwanda,2018,Both sexes,13.3,73.43737333,146.172962,0.1668613890231151,0.2920922089290926,861.0934122000001,783.6371627999999,6170.0,630.4226697,0.008825724363655772,0.4530083090649801,0.16660201706749422,0.20139720558882246,0.329113924050633,0.5037926675094819,0.9104258443465492,0.057,0.16399999999999998,0.7112810707456977,0.42008196721311464,1.0,0.0,0.0,0.0,0.0,0.0,19,5.267715957324131,9.51371394113985,9.219449883499637,18.341227087396142,0.07767748166416202,230.84734077512488
14,AFR,Africa,TZA,United Republic of Tanzania,2018,Both sexes,13.3,41.64069706891348,127.72994692466757,0.5088011824990611,0.4798377350272638,537.2851242258524,15990.790316933331,262005.75063613232,12664.677869724934,0.03358346136685561,0.46012659624152197,0.5470459863636651,0.5699102607792546,0.6871076674470159,0.6119998355482923,0.6910537678326574,0.005648514851485148,0.7271580756013746,0.5652800140887589,0.3536999275576185,1.0,0.0,0.0,0.0,0.0,0.0,19,5.0035644879782,4.668049953214195,21.012194400473785,41.95430634260418,0.36919321933494065,245.1382267605977
15,EUR,Europe,ISL,Iceland,2018,Both sexes,13.8,18.56590301,125.2289655,0.6888238097933921,0.8053691275167786,108.3001763,74469.80406000001,3440.0,58614.26448,0.0002459310207031222,0.5503324491623311,0.5470459863636651,0.5699102607792546,0.6871076674470159,0.6119998355482923,0.6910537678326574,0.005648514851485148,0.7271580756013746,0.5652800140887589,0.3536999275576185,0.0,0.0,0.0,1.0,0.0,0.0,19,5.003051011220761,4.766611113234784,42.072023822764486,15.09568462857515,0.8839196191532475,70.65514180552039
16,AMR,Americas,MEX,Mexico,2018,Both sexes,13.9,54.98649657,136.5766487,0.601631904247285,0.4839509775313686,19.24434167,9686.514244,679880.0,7520.7039700000005,0.09060011548970649,0.24600313888801906,0.7463149728471682,0.6522954091816364,0.7667269439421339,0.7313527180783819,0.751835535976505,-0.179,0.809,0.8814531548757168,0.22540983606557372,0.0,1.0,0.0,0.0,0.0,0.0,19,5.149821198429876,2.6797915887349446,21.31682437474207,87.9314203980641,0.3711328718002497,501.58269420540586
17,AFR,Africa,ZWE,Zimbabwe,2018,Both sexes,13.9,41.87669639,116.71221059999999,0.5088011824990611,0.4798377350272638,537.2851242258524,1352.1626529999999,31380.0,1394.088773,0.010360019354130065,0.47994450319828885,0.17726920093095422,0.2822355289421157,0.6166365280289333,0.32996207332490535,0.6740088105726871,-0.068,0.8440000000000001,0.5525812619502867,0.22336065573770483,1.0,0.0,0.0,0.0,0.0,0.0,19,4.886959782347494,4.668049953214195,11.057993037490752,31.54164308421736,0.14683670916178956,243.5064600602059
18,EMR,Eastern Mediterranean,IRN,Iran (Islamic Republic of),2018,Both sexes,14.0,41.64069706891348,127.72994692466757,0.5088011824990611,0.4798377350272638,537.2851242258524,15990.790316933331,262005.75063613232,12664.677869724934,0.03358346136685561,0.46012659624152197,0.5470459863636651,0.5699102607792546,0.6871076674470159,0.6119998355482923,0.6910537678326574,0.005648514851485148,0.7271580756013746,0.5652800140887589,0.3536999275576185,0.0,0.0,1.0,0.0,0.0,0.0,19,5.0035644879782,4.668049953214195,21.012194400473785,41.95430634260418,0.36919321933494065,245.1382267605977
19,EMR,Eastern Mediterranean,QAT,Qatar,2018,Both sexes,14.0,5.831157527999999,116.1551881,0.5088011824990611,0.9163991829588561,3.64,65907.94842999999,99830.0,48313.35099,0.0019899724380451687,0.46012659624152197,0.5470459863636651,0.5699102607792546,0.6871076674470159,0.6119998355482923,0.6910537678326574,0.005648514851485148,0.7271580756013746,0.5652800140887589,0.3536999275576185,0.0,0.0,1.0,0.0,0.0,0.0,19,4.879172854579915,1.5382743361962357,40.39360346029728,46.389571080653916,0.8193674272810573,140.63793902342493
20,AFR,Africa,GMB,Gambia,2018,Both sexes,14.4,41.64069706891348,127.72994692466757,0.5088011824990611,0.4798377350272638,537.2851242258524,15990.790316933331,262005.75063613232,12664.677869724934,0.03358346136685561,0.46012659624152197,0.5470459863636651,0.5699102607792546,0.6871076674470159,0.6119998355482923,0.6910537678326574,0.005648514851485148,0.7271580756013746,0.5652800140887589,0.3536999275576185,1.0,0.0,0.0,0.0,0.0,0.0,19,5.0035644879782,4.668049953214195,21.012194400473785,41.95430634260418,0.36919321933494065,245.1382267605977
21,AFR,Africa,MOZ,Mozambique,2018,Both sexes,14.4,52.66389277,177.3816122,0.5088011824990611,0.4798377350272638,60.32620764,503.31792520000005,35040.0,391.16492719999997,0.021171380753954278,0.5307000284647291,0.3785880527540729,0.10518962075848326,0.5497287522603979,0.28571428571428603,0.8707782672540381,0.049,0.691,0.41873804971319306,0.6024590163934426,1.0,0.0,0.0,0.0,0.0,0.0,19,5.61870459160953,3.9219495985526818,7.954522828645402,32.72311956276314,0.044087841767798286,308.9733955582494
22,EMR,Eastern Mediterranean,MAR,Morocco,2018,Both sexes,14.7,67.3739637,110.731614,0.43317974630242795,0.4798377350272638,9.386102421,3226.982794,94290.0,2796.70933,0.025862259735876577,0.6342549127484127,0.4257176105508146,0.45489021956087816,0.21699819168173595,0.6554993678887486,0.6886930983847284,-0.23399999999999999,0.843,0.4149139579349904,0.6413934426229508,0.0,0.0,1.0,0.0,0.0,0.0,19,4.802019029086802,2.1094137032938094,14.777429063251239,45.5150696772671,0.224555376171417,330.28163591081295
